,0
297,-1.0723
298,-1.1491
299,-1.1051
300,-0.86145
301,-1.0608
302,-1.0527
303,-0.99124
304,-0.99968
305,-0.99379
306,-1.0619
307,-0.92799
308,-1.0449
309,-1.0661
310,-0.94779
311,-1.1451
312,-0.82779
313,-1.0895
314,-0.99732
315,-0.91323
316,-1.0295
317,-0.99437
318,-1.2075
319,-1.0683
320,-0.94954
321,-1.0275
322,-1.0576
323,-1.1257
324,-1.0902
325,-0.9378
326,-0.95845
327,-0.87009
328,-0.9585
329,-1.1262
330,-1.0292
331,-1.07
332,-1.0799
333,-0.85181
334,-0.99726
335,-0.98533
336,-1.1035
337,-0.96928
338,-1.0014
339,-1.0163
340,-1.0726
341,-0.9601
342,-1.019
343,-0.97866
344,-1.0478
345,-0.89324
346,-1.1655
347,-1.1285
348,-0.94118
349,-1.1144
350,-1.0869
351,-1.1841
352,-1.109
353,-1.0491
354,-1.0407
355,-1.2121
356,-0.94409
357,-0.9825
358,-1.0955
359,-0.84497
360,-1.1992
361,-1.0526
362,-0.84151
363,-1.1426
364,-0.95294
365,-0.90918
366,-1.1404
367,-0.98341
368,-0.87833
369,-0.98819
370,-0.94317
371,-0.92856
372,-1.0994
373,-0.91963
374,-1.086
375,-0.90918
376,-1.0112
377,-1.1156
378,-0.93765
379,-0.84015
380,-0.97166
381,-1.0244
382,-1.088
383,-1.0678
384,-0.95898
385,-1.0054
386,-0.87283
387,-0.90838
388,-1.0904
389,-1.1315
390,-1.1228
391,-1.1006
392,-1.0573
393,-0.89016
394,-0.88382
395,-1.0227
396,-1.119
397,-1.091
398,-0.90954
399,-0.99094
400,-1.0747
401,-0.98684
402,-1.0204
403,-0.94118
404,-1.04
405,-0.97821
406,-1.0638
407,-0.94326
408,-1.1045
409,-0.95998
410,-1.1122
411,-1.0388
412,-0.89347
413,-1.314
414,-1.1114
415,-1.033
416,-0.85541
417,-1.0474
418,-0.88384
419,-1.0635
420,-1.1603
421,-1.1092
422,-0.91189
423,-0.84213
424,-0.84399
425,-1.0775
426,-1.0977
427,-0.77343
428,-1.2268
429,-0.92496
430,-0.99814
431,-1.0596
432,-1.0581
433,-0.98968
434,-0.99483
435,-1.094
436,-1.0052
437,-0.98476
438,-0.95034
439,-1.0659
440,-1.0839
441,-1.2221
442,-0.89355
443,-0.96112
444,-1.2187
445,-0.86899
446,-0.95065
447,-1.0441
448,-0.91995
449,-0.92542
450,-0.95573
451,-0.97865
452,-1.1633
453,-1.0443
454,-0.93327
455,-0.90546
456,-1.0192
457,-1.2665
458,-1.1773
459,-0.8582
460,-0.92408
461,-0.889
462,-0.92848
463,-1.0602
464,-1.1304
465,-0.91877
466,-1.1002
467,-1.2745
468,-0.97511
469,-1.1456
470,-1.1488
471,-0.83208
472,-0.81048
473,-0.94472
474,-0.97625
475,-0.93911
476,-0.97249
477,-0.9711
478,-1.0464
479,-0.95362
480,-1.13
481,-1.0314
482,-1.0349
483,-0.96448
484,-0.91516
485,-1.0042
486,-0.90451
487,-1.1512
488,-0.97976
489,-1.1126
490,-0.93134
491,-1.106
492,-0.96622
493,-1.0545
494,-1.0027
495,-1.1339
496,-1.0725
497,-0.86866
498,-1.1335
499,-1.0534
500,-0.91667
501,-0.84486
502,-1.1412
503,-0.7718
504,-0.96593
505,-1.0991
506,-1.1266
507,-0.86072
508,-0.84735
509,-1.1477
510,-0.96828
511,-1.1515
512,-1.0441
513,-0.86904
514,-1.2169
515,-0.93277
516,-0.92887
517,-0.95624
518,-0.93961
519,-0.86591
520,-0.9061
521,-0.86849
522,-1.0828
523,-0.78257
524,-1.0491
525,-1.0142
526,-0.98185
527,-1.1027
528,-1.3724
529,-1.037
530,-1.0764
531,-0.96189
532,-1.0296
533,-0.97305
534,-0.99121
535,-0.86188
536,-1.1783
537,-0.99184
538,-0.91928
539,-1.0259
540,-0.8518
541,-1.0015
542,-1.0267
543,-1.0782
544,-1.0472
545,-0.91668
546,-0.88516
547,-0.89921
548,-0.79044
549,-1.038
550,-1.0556
551,-1.1407
552,-1.1245
553,-0.971
554,-0.88828
555,-0.8862
556,-0.8924
557,-1.0525
558,-1.1363
559,-1.1596
560,-0.99294
